6469_7.txt: { positive score: 11, negative score: 14.0 }, classification: negative, correct: pos
1016_7.txt: { positive score: 18, negative score: 22.75 }, classification: negative, correct: pos
628_8.txt: { positive score: 5, negative score: 3.5 }, classification: positive, correct: pos
10349_8.txt: { positive score: 19, negative score: 8.75 }, classification: positive, correct: pos
7494_9.txt: { positive score: 14, negative score: 12.25 }, classification: positive, correct: pos
12444_10.txt: { positive score: 4, negative score: 0 }, classification: positive, correct: pos
3243_9.txt: { positive score: 8, negative score: 7.0 }, classification: positive, correct: pos
11700_9.txt: { positive score: 11, negative score: 7.0 }, classification: positive, correct: pos
3993_9.txt: { positive score: 51, negative score: 31.5 }, classification: positive, correct: pos
12418_7.txt: { positive score: 10, negative score: 0 }, classification: positive, correct: pos
9861_7.txt: { positive score: 5, negative score: 1.75 }, classification: positive, correct: pos
7077_10.txt: { positive score: 3, negative score: 1.75 }, classification: positive, correct: pos
5721_10.txt: { positive score: 23, negative score: 33.25 }, classification: negative, correct: pos
5297_10.txt: { positive score: 15, negative score: 12.25 }, classification: positive, correct: pos
10866_9.txt: { positive score: 4, negative score: 1.75 }, classification: positive, correct: pos
10442_8.txt: { positive score: 13, negative score: 14.0 }, classification: negative, correct: pos
3282_8.txt: { positive score: 5, negative score: 3.5 }, classification: positive, correct: pos
1731_10.txt: { positive score: 16, negative score: 21.0 }, classification: negative, correct: pos
10023_8.txt: { positive score: 19, negative score: 17.5 }, classification: positive, correct: pos
5678_10.txt: { positive score: 4, negative score: 3.5 }, classification: positive, correct: pos
1559_10.txt: { positive score: 9, negative score: 3.5 }, classification: positive, correct: pos
8628_7.txt: { positive score: 13, negative score: 17.5 }, classification: negative, correct: pos
2123_8.txt: { positive score: 13, negative score: 0 }, classification: positive, correct: pos
1409_10.txt: { positive score: 16, negative score: 22.75 }, classification: negative, correct: pos
10984_10.txt: { positive score: 8, negative score: 0 }, classification: positive, correct: pos
12281_8.txt: { positive score: 13, negative score: 19.25 }, classification: negative, correct: pos
11449_8.txt: { positive score: 16, negative score: 21.0 }, classification: negative, correct: pos
1685_10.txt: { positive score: 9, negative score: 10.5 }, classification: negative, correct: pos
7594_8.txt: { positive score: 5, negative score: 10.5 }, classification: negative, correct: pos
2636_7.txt: { positive score: 10, negative score: 12.25 }, classification: negative, correct: pos
5013_9.txt: { positive score: 23, negative score: 35.0 }, classification: negative, correct: pos
2790_10.txt: { positive score: 15, negative score: 8.75 }, classification: positive, correct: pos
17_8.txt: { positive score: 1, negative score: 0 }, classification: positive, correct: pos
10320_10.txt: { positive score: 20, negative score: 24.5 }, classification: negative, correct: pos
10789_8.txt: { positive score: 11, negative score: 15.75 }, classification: negative, correct: pos
8606_9.txt: { positive score: 22, negative score: 21.0 }, classification: positive, correct: pos
10641_8.txt: { positive score: 13, negative score: 8.75 }, classification: positive, correct: pos
3839_10.txt: { positive score: 13, negative score: 10.5 }, classification: positive, correct: pos
3790_7.txt: { positive score: 6, negative score: 3.5 }, classification: positive, correct: pos
11725_10.txt: { positive score: 11, negative score: 7.0 }, classification: positive, correct: pos
7590_7.txt: { positive score: 19, negative score: 14.0 }, classification: positive, correct: pos
8159_7.txt: { positive score: 15, negative score: 24.5 }, classification: negative, correct: pos
11911_8.txt: { positive score: 26, negative score: 29.75 }, classification: negative, correct: pos
10207_10.txt: { positive score: 13, negative score: 10.5 }, classification: positive, correct: pos
2795_7.txt: { positive score: 74, negative score: 136.5 }, classification: negative, correct: pos
2680_9.txt: { positive score: 8, negative score: 0 }, classification: positive, correct: pos
9694_10.txt: { positive score: 11, negative score: 15.75 }, classification: negative, correct: pos
7900_9.txt: { positive score: 7, negative score: 0 }, classification: positive, correct: pos
1845_10.txt: { positive score: 27, negative score: 19.25 }, classification: positive, correct: pos
7498_10.txt: { positive score: 7, negative score: 3.5 }, classification: positive, correct: pos
1455_10.txt: { positive score: 5, negative score: 0 }, classification: positive, correct: pos
10091_10.txt: { positive score: 12, negative score: 10.5 }, classification: positive, correct: pos
673_8.txt: { positive score: 23, negative score: 26.25 }, classification: negative, correct: pos
7771_10.txt: { positive score: 9, negative score: 1.75 }, classification: positive, correct: pos
2782_8.txt: { positive score: 5, negative score: 0 }, classification: positive, correct: pos
9211_9.txt: { positive score: 14, negative score: 17.5 }, classification: negative, correct: pos
5961_8.txt: { positive score: 19, negative score: 29.75 }, classification: negative, correct: pos
6453_10.txt: { positive score: 6, negative score: 1.75 }, classification: positive, correct: pos
1945_8.txt: { positive score: 5, negative score: 7.0 }, classification: negative, correct: pos
4941_9.txt: { positive score: 14, negative score: 21.0 }, classification: negative, correct: pos
11374_10.txt: { positive score: 16, negative score: 10.5 }, classification: positive, correct: pos
1471_10.txt: { positive score: 13, negative score: 12.25 }, classification: positive, correct: pos
6740_10.txt: { positive score: 12, negative score: 5.25 }, classification: positive, correct: pos
2874_9.txt: { positive score: 17, negative score: 7.0 }, classification: positive, correct: pos
7933_8.txt: { positive score: 9, negative score: 17.5 }, classification: negative, correct: pos
3800_7.txt: { positive score: 3, negative score: 3.5 }, classification: negative, correct: pos
2045_10.txt: { positive score: 7, negative score: 8.75 }, classification: negative, correct: pos
7775_10.txt: { positive score: 3, negative score: 0 }, classification: positive, correct: pos
6433_7.txt: { positive score: 18, negative score: 17.5 }, classification: positive, correct: pos
670_7.txt: { positive score: 13, negative score: 15.75 }, classification: negative, correct: pos
2771_9.txt: { positive score: 4, negative score: 5.25 }, classification: negative, correct: pos
9251_10.txt: { positive score: 10, negative score: 17.5 }, classification: negative, correct: pos
765_9.txt: { positive score: 9, negative score: 3.5 }, classification: positive, correct: pos
2082_8.txt: { positive score: 14, negative score: 17.5 }, classification: negative, correct: pos
11387_10.txt: { positive score: 51, negative score: 29.75 }, classification: positive, correct: pos
7289_10.txt: { positive score: 5, negative score: 0 }, classification: positive, correct: pos
8059_8.txt: { positive score: 8, negative score: 12.25 }, classification: negative, correct: pos
1140_9.txt: { positive score: 13, negative score: 12.25 }, classification: positive, correct: pos
6634_9.txt: { positive score: 3, negative score: 0 }, classification: positive, correct: pos
2088_9.txt: { positive score: 5, negative score: 5.25 }, classification: negative, correct: pos
3381_10.txt: { positive score: 4, negative score: 1.75 }, classification: positive, correct: pos
6092_10.txt: { positive score: 8, negative score: 1.75 }, classification: positive, correct: pos
2756_8.txt: { positive score: 17, negative score: 12.25 }, classification: positive, correct: pos
1884_7.txt: { positive score: 18, negative score: 15.75 }, classification: positive, correct: pos
8005_10.txt: { positive score: 16, negative score: 10.5 }, classification: positive, correct: pos
1500_9.txt: { positive score: 5, negative score: 7.0 }, classification: negative, correct: pos
524_9.txt: { positive score: 8, negative score: 8.75 }, classification: negative, correct: pos
5333_10.txt: { positive score: 8, negative score: 3.5 }, classification: positive, correct: pos
1067_9.txt: { positive score: 6, negative score: 3.5 }, classification: positive, correct: pos
1753_7.txt: { positive score: 8, negative score: 0 }, classification: positive, correct: pos
1537_10.txt: { positive score: 0, negative score: 0 }, classification: negative, correct: pos
7433_10.txt: { positive score: 14, negative score: 3.5 }, classification: positive, correct: pos
5276_8.txt: { positive score: 2, negative score: 3.5 }, classification: negative, correct: pos
12150_10.txt: { positive score: 1, negative score: 3.5 }, classification: negative, correct: pos
8610_8.txt: { positive score: 11, negative score: 3.5 }, classification: positive, correct: pos
6449_8.txt: { positive score: 8, negative score: 3.5 }, classification: positive, correct: pos
11061_10.txt: { positive score: 5, negative score: 0 }, classification: positive, correct: pos
2931_8.txt: { positive score: 28, negative score: 33.25 }, classification: negative, correct: pos
3712_10.txt: { positive score: 13, negative score: 7.0 }, classification: positive, correct: pos
10103_9.txt: { positive score: 27, negative score: 36.75 }, classification: negative, correct: pos
11137_10.txt: { positive score: 5, negative score: 0 }, classification: positive, correct: pos
7139_10.txt: { positive score: 1, negative score: 1.75 }, classification: negative, correct: pos
10437_9.txt: { positive score: 6, negative score: 3.5 }, classification: positive, correct: pos
5055_10.txt: { positive score: 6, negative score: 0 }, classification: positive, correct: pos
11337_8.txt: { positive score: 11, negative score: 12.25 }, classification: negative, correct: pos
6417_8.txt: { positive score: 16, negative score: 19.25 }, classification: negative, correct: pos
6907_8.txt: { positive score: 24, negative score: 19.25 }, classification: positive, correct: pos
4796_10.txt: { positive score: 30, negative score: 24.5 }, classification: positive, correct: pos
2049_10.txt: { positive score: 6, negative score: 5.25 }, classification: positive, correct: pos
5665_10.txt: { positive score: 4, negative score: 7.0 }, classification: negative, correct: pos
6426_7.txt: { positive score: 8, negative score: 5.25 }, classification: positive, correct: pos
4923_9.txt: { positive score: 9, negative score: 7.0 }, classification: positive, correct: pos
52_10.txt: { positive score: 6, negative score: 3.5 }, classification: positive, correct: pos
4276_10.txt: { positive score: 11, negative score: 1.75 }, classification: positive, correct: pos
5530_9.txt: { positive score: 10, negative score: 12.25 }, classification: negative, correct: pos
6091_9.txt: { positive score: 15, negative score: 15.75 }, classification: negative, correct: pos
5441_9.txt: { positive score: 7, negative score: 5.25 }, classification: positive, correct: pos
7948_8.txt: { positive score: 23, negative score: 26.25 }, classification: negative, correct: pos
3706_10.txt: { positive score: 16, negative score: 22.75 }, classification: negative, correct: pos
10528_8.txt: { positive score: 17, negative score: 17.5 }, classification: negative, correct: pos
11307_8.txt: { positive score: 8, negative score: 1.75 }, classification: positive, correct: pos
10681_8.txt: { positive score: 2, negative score: 7.0 }, classification: negative, correct: pos
4931_8.txt: { positive score: 29, negative score: 24.5 }, classification: positive, correct: pos
6723_7.txt: { positive score: 13, negative score: 0 }, classification: positive, correct: pos
7109_7.txt: { positive score: 4, negative score: 5.25 }, classification: negative, correct: pos
4833_9.txt: { positive score: 33, negative score: 47.25 }, classification: negative, correct: pos
5302_10.txt: { positive score: 6, negative score: 3.5 }, classification: positive, correct: pos
1411_10.txt: { positive score: 9, negative score: 7.0 }, classification: positive, correct: pos
4761_7.txt: { positive score: 33, negative score: 59.5 }, classification: negative, correct: pos
6867_8.txt: { positive score: 38, negative score: 22.75 }, classification: positive, correct: pos
8374_7.txt: { positive score: 4, negative score: 1.75 }, classification: positive, correct: pos
5585_8.txt: { positive score: 4, negative score: 1.75 }, classification: positive, correct: pos
8642_10.txt: { positive score: 21, negative score: 15.75 }, classification: positive, correct: pos
9365_8.txt: { positive score: 6, negative score: 3.5 }, classification: positive, correct: pos
6921_8.txt: { positive score: 7, negative score: 1.75 }, classification: positive, correct: pos
2365_8.txt: { positive score: 4, negative score: 3.5 }, classification: positive, correct: pos
5375_7.txt: { positive score: 7, negative score: 5.25 }, classification: positive, correct: pos
11319_7.txt: { positive score: 4, negative score: 7.0 }, classification: negative, correct: pos
6315_8.txt: { positive score: 10, negative score: 0 }, classification: positive, correct: pos
12464_8.txt: { positive score: 23, negative score: 19.25 }, classification: positive, correct: pos
11535_10.txt: { positive score: 13, negative score: 15.75 }, classification: negative, correct: pos
5147_7.txt: { positive score: 3, negative score: 1.75 }, classification: positive, correct: pos
12147_10.txt: { positive score: 4, negative score: 0 }, classification: positive, correct: pos
7549_10.txt: { positive score: 13, negative score: 15.75 }, classification: negative, correct: pos
3435_9.txt: { positive score: 6, negative score: 0 }, classification: positive, correct: pos
1023_10.txt: { positive score: 7, negative score: 1.75 }, classification: positive, correct: pos
5745_7.txt: { positive score: 7, negative score: 5.25 }, classification: positive, correct: pos
10301_10.txt: { positive score: 17, negative score: 15.75 }, classification: positive, correct: pos
7105_8.txt: { positive score: 6, negative score: 5.25 }, classification: positive, correct: pos
4542_10.txt: { positive score: 1, negative score: 0 }, classification: positive, correct: pos
6048_10.txt: { positive score: 5, negative score: 8.75 }, classification: negative, correct: pos
3665_10.txt: { positive score: 26, negative score: 22.75 }, classification: positive, correct: pos
3081_8.txt: { positive score: 10, negative score: 15.75 }, classification: negative, correct: pos
7787_10.txt: { positive score: 11, negative score: 10.5 }, classification: positive, correct: pos
11445_8.txt: { positive score: 2, negative score: 1.75 }, classification: positive, correct: pos
1498_10.txt: { positive score: 60, negative score: 78.75 }, classification: negative, correct: pos
9428_7.txt: { positive score: 5, negative score: 12.25 }, classification: negative, correct: pos
11403_9.txt: { positive score: 9, negative score: 7.0 }, classification: positive, correct: pos
2247_10.txt: { positive score: 6, negative score: 1.75 }, classification: positive, correct: pos
8862_9.txt: { positive score: 26, negative score: 24.5 }, classification: positive, correct: pos
3756_7.txt: { positive score: 8, negative score: 17.5 }, classification: negative, correct: pos
7166_9.txt: { positive score: 15, negative score: 12.25 }, classification: positive, correct: pos
4486_7.txt: { positive score: 2, negative score: 1.75 }, classification: positive, correct: pos
10523_9.txt: { positive score: 7, negative score: 1.75 }, classification: positive, correct: pos
3915_8.txt: { positive score: 14, negative score: 12.25 }, classification: positive, correct: pos
4807_10.txt: { positive score: 11, negative score: 1.75 }, classification: positive, correct: pos
7618_10.txt: { positive score: 4, negative score: 0 }, classification: positive, correct: pos
752_10.txt: { positive score: 31, negative score: 22.75 }, classification: positive, correct: pos
3203_8.txt: { positive score: 3, negative score: 0 }, classification: positive, correct: pos
11944_8.txt: { positive score: 2, negative score: 7.0 }, classification: negative, correct: pos
5137_10.txt: { positive score: 4, negative score: 12.25 }, classification: negative, correct: pos
11666_10.txt: { positive score: 42, negative score: 29.75 }, classification: positive, correct: pos
7995_10.txt: { positive score: 7, negative score: 3.5 }, classification: positive, correct: pos
11873_8.txt: { positive score: 7, negative score: 1.75 }, classification: positive, correct: pos
11097_9.txt: { positive score: 3, negative score: 1.75 }, classification: positive, correct: pos
10695_10.txt: { positive score: 5, negative score: 5.25 }, classification: negative, correct: pos
1603_10.txt: { positive score: 14, negative score: 17.5 }, classification: negative, correct: pos
6005_9.txt: { positive score: 17, negative score: 7.0 }, classification: positive, correct: pos
5788_10.txt: { positive score: 11, negative score: 7.0 }, classification: positive, correct: pos
5716_10.txt: { positive score: 6, negative score: 0 }, classification: positive, correct: pos
11577_10.txt: { positive score: 18, negative score: 31.5 }, classification: negative, correct: pos
9991_8.txt: { positive score: 28, negative score: 26.25 }, classification: positive, correct: pos
12467_10.txt: { positive score: 4, negative score: 0 }, classification: positive, correct: pos
3703_8.txt: { positive score: 9, negative score: 0 }, classification: positive, correct: pos
5286_9.txt: { positive score: 7, negative score: 3.5 }, classification: positive, correct: pos
1088_8.txt: { positive score: 26, negative score: 15.75 }, classification: positive, correct: pos
3017_9.txt: { positive score: 11, negative score: 5.25 }, classification: positive, correct: pos
8424_9.txt: { positive score: 21, negative score: 15.75 }, classification: positive, correct: pos
3581_10.txt: { positive score: 1, negative score: 0 }, classification: positive, correct: pos
4710_10.txt: { positive score: 4, negative score: 1.75 }, classification: positive, correct: pos
12043_9.txt: { positive score: 8, negative score: 5.25 }, classification: positive, correct: pos
2321_8.txt: { positive score: 5, negative score: 14.0 }, classification: negative, correct: pos
1674_9.txt: { positive score: 4, negative score: 5.25 }, classification: negative, correct: pos
10489_8.txt: { positive score: 16, negative score: 15.75 }, classification: positive, correct: pos
11284_10.txt: { positive score: 15, negative score: 17.5 }, classification: negative, correct: pos
4306_7.txt: { positive score: 5, negative score: 1.75 }, classification: positive, correct: pos
6843_10.txt: { positive score: 8, negative score: 1.75 }, classification: positive, correct: pos
7131_9.txt: { positive score: 23, negative score: 19.25 }, classification: positive, correct: pos
5314_8.txt: { positive score: 14, negative score: 8.75 }, classification: positive, correct: pos
8966_8.txt: { positive score: 20, negative score: 21.0 }, classification: negative, correct: pos
2245_10.txt: { positive score: 11, negative score: 8.75 }, classification: positive, correct: pos
3991_8.txt: { positive score: 18, negative score: 12.25 }, classification: positive, correct: pos
7219_10.txt: { positive score: 6, negative score: 0 }, classification: positive, correct: pos
8548_10.txt: { positive score: 3, negative score: 31.5 }, classification: negative, correct: pos
8193_9.txt: { positive score: 6, negative score: 3.5 }, classification: positive, correct: pos
7285_9.txt: { positive score: 11, negative score: 10.5 }, classification: positive, correct: pos
3859_10.txt: { positive score: 14, negative score: 3.5 }, classification: positive, correct: pos
352_10.txt: { positive score: 12, negative score: 12.25 }, classification: negative, correct: pos
5558_10.txt: { positive score: 7, negative score: 8.75 }, classification: negative, correct: pos
11146_7.txt: { positive score: 9, negative score: 8.75 }, classification: positive, correct: pos
5057_8.txt: { positive score: 9, negative score: 1.75 }, classification: positive, correct: pos
6676_10.txt: { positive score: 12, negative score: 7.0 }, classification: positive, correct: pos
5488_8.txt: { positive score: 16, negative score: 10.5 }, classification: positive, correct: pos
3344_7.txt: { positive score: 39, negative score: 52.5 }, classification: negative, correct: pos
5230_9.txt: { positive score: 4, negative score: 0 }, classification: positive, correct: pos
6125_7.txt: { positive score: 12, negative score: 15.75 }, classification: negative, correct: pos
12103_10.txt: { positive score: 22, negative score: 21.0 }, classification: positive, correct: pos
11938_9.txt: { positive score: 11, negative score: 3.5 }, classification: positive, correct: pos
4876_10.txt: { positive score: 20, negative score: 17.5 }, classification: positive, correct: pos
8000_10.txt: { positive score: 6, negative score: 5.25 }, classification: positive, correct: pos
8728_7.txt: { positive score: 9, negative score: 3.5 }, classification: positive, correct: pos
12018_10.txt: { positive score: 4, negative score: 0 }, classification: positive, correct: pos
11550_10.txt: { positive score: 6, negative score: 1.75 }, classification: positive, correct: pos
4981_8.txt: { positive score: 32, negative score: 40.25 }, classification: negative, correct: pos
2766_10.txt: { positive score: 19, negative score: 1.75 }, classification: positive, correct: pos
1509_8.txt: { positive score: 12, negative score: 12.25 }, classification: negative, correct: pos
11072_8.txt: { positive score: 12, negative score: 12.25 }, classification: negative, correct: pos
6085_8.txt: { positive score: 49, negative score: 26.25 }, classification: positive, correct: pos
5130_9.txt: { positive score: 8, negative score: 0 }, classification: positive, correct: pos
1237_7.txt: { positive score: 6, negative score: 3.5 }, classification: positive, correct: pos
10370_10.txt: { positive score: 9, negative score: 3.5 }, classification: positive, correct: pos
3515_8.txt: { positive score: 9, negative score: 10.5 }, classification: negative, correct: pos
6878_9.txt: { positive score: 11, negative score: 10.5 }, classification: positive, correct: pos
11017_8.txt: { positive score: 20, negative score: 8.75 }, classification: positive, correct: pos
746_7.txt: { positive score: 9, negative score: 8.75 }, classification: positive, correct: pos
12082_10.txt: { positive score: 9, negative score: 0 }, classification: positive, correct: pos
8224_10.txt: { positive score: 3, negative score: 0 }, classification: positive, correct: pos
8487_10.txt: { positive score: 9, negative score: 3.5 }, classification: positive, correct: pos
7854_8.txt: { positive score: 4, negative score: 0 }, classification: positive, correct: pos
8993_10.txt: { positive score: 7, negative score: 3.5 }, classification: positive, correct: pos
9641_8.txt: { positive score: 4, negative score: 1.75 }, classification: positive, correct: pos
906_7.txt: { positive score: 20, negative score: 17.5 }, classification: positive, correct: pos
11901_10.txt: { positive score: 7, negative score: 1.75 }, classification: positive, correct: pos
3967_9.txt: { positive score: 50, negative score: 54.25 }, classification: negative, correct: pos
779_8.txt: { positive score: 25, negative score: 33.25 }, classification: negative, correct: pos
9103_10.txt: { positive score: 8, negative score: 3.5 }, classification: positive, correct: pos
11640_10.txt: { positive score: 1, negative score: 0 }, classification: positive, correct: pos
8317_10.txt: { positive score: 13, negative score: 8.75 }, classification: positive, correct: pos
12005_7.txt: { positive score: 6, negative score: 3.5 }, classification: positive, correct: pos
6510_7.txt: { positive score: 15, negative score: 22.75 }, classification: negative, correct: pos
5742_10.txt: { positive score: 6, negative score: 1.75 }, classification: positive, correct: pos
2778_10.txt: { positive score: 12, negative score: 0 }, classification: positive, correct: pos
6256_8.txt: { positive score: 4, negative score: 7.0 }, classification: negative, correct: pos
9199_10.txt: { positive score: 7, negative score: 1.75 }, classification: positive, correct: pos
8290_10.txt: { positive score: 31, negative score: 28.0 }, classification: positive, correct: pos
6656_8.txt: { positive score: 22, negative score: 14.0 }, classification: positive, correct: pos
1390_8.txt: { positive score: 15, negative score: 0 }, classification: positive, correct: pos
75_10.txt: { positive score: 11, negative score: 1.75 }, classification: positive, correct: pos
8484_7.txt: { positive score: 25, negative score: 17.5 }, classification: positive, correct: pos
5882_9.txt: { positive score: 25, negative score: 35.0 }, classification: negative, correct: pos
6816_10.txt: { positive score: 9, negative score: 7.0 }, classification: positive, correct: pos
1622_9.txt: { positive score: 16, negative score: 14.0 }, classification: positive, correct: pos
384_9.txt: { positive score: 7, negative score: 15.75 }, classification: negative, correct: pos
2232_7.txt: { positive score: 6, negative score: 5.25 }, classification: positive, correct: pos
2254_7.txt: { positive score: 24, negative score: 15.75 }, classification: positive, correct: pos
8496_10.txt: { positive score: 7, negative score: 7.0 }, classification: negative, correct: pos
9799_10.txt: { positive score: 2, negative score: 1.75 }, classification: positive, correct: pos
8330_9.txt: { positive score: 16, negative score: 17.5 }, classification: negative, correct: pos
3503_8.txt: { positive score: 15, negative score: 26.25 }, classification: negative, correct: pos
8504_8.txt: { positive score: 10, negative score: 8.75 }, classification: positive, correct: pos
5935_7.txt: { positive score: 34, negative score: 45.5 }, classification: negative, correct: pos
9386_7.txt: { positive score: 26, negative score: 29.75 }, classification: negative, correct: pos
7418_10.txt: { positive score: 1, negative score: 1.75 }, classification: negative, correct: pos
7652_10.txt: { positive score: 4, negative score: 1.75 }, classification: positive, correct: pos
8072_10.txt: { positive score: 19, negative score: 17.5 }, classification: positive, correct: pos
12340_8.txt: { positive score: 15, negative score: 8.75 }, classification: positive, correct: pos
12104_7.txt: { positive score: 23, negative score: 17.5 }, classification: positive, correct: pos
529_10.txt: { positive score: 3, negative score: 0 }, classification: positive, correct: pos
11377_10.txt: { positive score: 6, negative score: 0 }, classification: positive, correct: pos
1991_7.txt: { positive score: 20, negative score: 10.5 }, classification: positive, correct: pos
2238_7.txt: { positive score: 6, negative score: 0 }, classification: positive, correct: pos
5418_9.txt: { positive score: 19, negative score: 24.5 }, classification: negative, correct: pos
4666_7.txt: { positive score: 22, negative score: 36.75 }, classification: negative, correct: pos
7923_9.txt: { positive score: 7, negative score: 10.5 }, classification: negative, correct: pos
8651_7.txt: { positive score: 4, negative score: 7.0 }, classification: negative, correct: pos
5301_9.txt: { positive score: 7, negative score: 7.0 }, classification: negative, correct: pos
3295_7.txt: { positive score: 2, negative score: 1.75 }, classification: positive, correct: pos
7619_8.txt: { positive score: 4, negative score: 1.75 }, classification: positive, correct: pos
10627_9.txt: { positive score: 9, negative score: 3.5 }, classification: positive, correct: pos
10098_9.txt: { positive score: 18, negative score: 17.5 }, classification: positive, correct: pos
3054_7.txt: { positive score: 7, negative score: 7.0 }, classification: negative, correct: pos
5058_8.txt: { positive score: 39, negative score: 24.5 }, classification: positive, correct: pos
5997_7.txt: { positive score: 6, negative score: 8.75 }, classification: negative, correct: pos
4509_9.txt: { positive score: 18, negative score: 10.5 }, classification: positive, correct: pos
12072_9.txt: { positive score: 12, negative score: 15.75 }, classification: negative, correct: pos
9760_10.txt: { positive score: 5, negative score: 3.5 }, classification: positive, correct: pos
10954_7.txt: { positive score: 15, negative score: 3.5 }, classification: positive, correct: pos
2660_9.txt: { positive score: 33, negative score: 31.5 }, classification: positive, correct: pos
2106_8.txt: { positive score: 13, negative score: 8.75 }, classification: positive, correct: pos
7155_9.txt: { positive score: 18, negative score: 19.25 }, classification: negative, correct: pos
7475_9.txt: { positive score: 12, negative score: 14.0 }, classification: negative, correct: pos
12413_9.txt: { positive score: 6, negative score: 8.75 }, classification: negative, correct: pos
11142_10.txt: { positive score: 28, negative score: 33.25 }, classification: negative, correct: pos
8366_7.txt: { positive score: 20, negative score: 28.0 }, classification: negative, correct: pos
6343_8.txt: { positive score: 5, negative score: 0 }, classification: positive, correct: pos
6259_7.txt: { positive score: 11, negative score: 15.75 }, classification: negative, correct: pos
4943_9.txt: { positive score: 10, negative score: 12.25 }, classification: negative, correct: pos
4308_10.txt: { positive score: 15, negative score: 17.5 }, classification: negative, correct: pos
3762_9.txt: { positive score: 6, negative score: 5.25 }, classification: positive, correct: pos
8310_7.txt: { positive score: 19, negative score: 12.25 }, classification: positive, correct: pos
2733_8.txt: { positive score: 10, negative score: 7.0 }, classification: positive, correct: pos
8570_8.txt: { positive score: 3, negative score: 1.75 }, classification: positive, correct: pos
7084_8.txt: { positive score: 3, negative score: 0 }, classification: positive, correct: pos
3796_10.txt: { positive score: 8, negative score: 12.25 }, classification: negative, correct: pos
6771_9.txt: { positive score: 4, negative score: 1.75 }, classification: positive, correct: pos
3518_9.txt: { positive score: 10, negative score: 10.5 }, classification: negative, correct: pos
9289_10.txt: { positive score: 11, negative score: 7.0 }, classification: positive, correct: pos
11720_7.txt: { positive score: 6, negative score: 0 }, classification: positive, correct: pos
723_10.txt: { positive score: 4, negative score: 1.75 }, classification: positive, correct: pos
11215_8.txt: { positive score: 5, negative score: 14.0 }, classification: negative, correct: pos
4532_10.txt: { positive score: 14, negative score: 1.75 }, classification: positive, correct: pos
3454_8.txt: { positive score: 3, negative score: 3.5 }, classification: negative, correct: pos
1607_9.txt: { positive score: 31, negative score: 26.25 }, classification: positive, correct: pos
6314_10.txt: { positive score: 9, negative score: 5.25 }, classification: positive, correct: pos
10836_9.txt: { positive score: 17, negative score: 7.0 }, classification: positive, correct: pos
3598_9.txt: { positive score: 3, negative score: 0 }, classification: positive, correct: pos
9447_10.txt: { positive score: 7, negative score: 1.75 }, classification: positive, correct: pos
7343_10.txt: { positive score: 5, negative score: 8.75 }, classification: negative, correct: pos
11191_10.txt: { positive score: 19, negative score: 24.5 }, classification: negative, correct: pos
6233_8.txt: { positive score: 10, negative score: 8.75 }, classification: positive, correct: pos
2777_9.txt: { positive score: 8, negative score: 3.5 }, classification: positive, correct: pos
9784_10.txt: { positive score: 12, negative score: 19.25 }, classification: negative, correct: pos
821_10.txt: { positive score: 8, negative score: 7.0 }, classification: positive, correct: pos
7869_10.txt: { positive score: 34, negative score: 35.0 }, classification: negative, correct: pos
7658_10.txt: { positive score: 3, negative score: 3.5 }, classification: negative, correct: pos
5407_8.txt: { positive score: 48, negative score: 28.0 }, classification: positive, correct: pos
9433_7.txt: { positive score: 14, negative score: 22.75 }, classification: negative, correct: pos
4515_10.txt: { positive score: 15, negative score: 15.75 }, classification: negative, correct: pos
3343_10.txt: { positive score: 6, negative score: 0 }, classification: positive, correct: pos
7419_8.txt: { positive score: 19, negative score: 17.5 }, classification: positive, correct: pos
6402_10.txt: { positive score: 4, negative score: 1.75 }, classification: positive, correct: pos
6323_9.txt: { positive score: 17, negative score: 26.25 }, classification: negative, correct: pos
6404_10.txt: { positive score: 11, negative score: 15.75 }, classification: negative, correct: pos
7935_9.txt: { positive score: 29, negative score: 36.75 }, classification: negative, correct: pos
12106_10.txt: { positive score: 23, negative score: 22.75 }, classification: positive, correct: pos
9701_9.txt: { positive score: 15, negative score: 28.0 }, classification: negative, correct: pos
6278_9.txt: { positive score: 17, negative score: 17.5 }, classification: negative, correct: pos
4260_8.txt: { positive score: 2, negative score: 0 }, classification: positive, correct: pos
2052_10.txt: { positive score: 9, negative score: 5.25 }, classification: positive, correct: pos
2919_10.txt: { positive score: 8, negative score: 3.5 }, classification: positive, correct: pos
6697_7.txt: { positive score: 14, negative score: 21.0 }, classification: negative, correct: pos
7650_8.txt: { positive score: 9, negative score: 8.75 }, classification: positive, correct: pos
8371_10.txt: { positive score: 2, negative score: 0 }, classification: positive, correct: pos
3256_10.txt: { positive score: 5, negative score: 12.25 }, classification: negative, correct: pos
12498_7.txt: { positive score: 10, negative score: 19.25 }, classification: negative, correct: pos
625_10.txt: { positive score: 3, negative score: 0 }, classification: positive, correct: pos
7006_8.txt: { positive score: 15, negative score: 15.75 }, classification: negative, correct: pos
3145_9.txt: { positive score: 7, negative score: 10.5 }, classification: negative, correct: pos
718_10.txt: { positive score: 10, negative score: 5.25 }, classification: positive, correct: pos
10546_10.txt: { positive score: 3, negative score: 0 }, classification: positive, correct: pos
9010_8.txt: { positive score: 11, negative score: 5.25 }, classification: positive, correct: pos
12394_7.txt: { positive score: 8, negative score: 8.75 }, classification: negative, correct: pos
